table,column,name,value
all_cases_survey_responses,outcome_achieved,strongly_disagree,0
all_cases_survey_responses,outcome_achieved,disagree,1
all_cases_survey_responses,outcome_achieved,neither,2
all_cases_survey_responses,outcome_achieved,agree,3
all_cases_survey_responses,outcome_achieved,strongly_agree,4
all_cases_survey_responses,satisfaction_level,very_dissatisfied,0
all_cases_survey_responses,satisfaction_level,dissatisfied,1
all_cases_survey_responses,satisfaction_level,neither,2
all_cases_survey_responses,satisfaction_level,satisfied,3
all_cases_survey_responses,satisfaction_level,very_satisfied,4
all_cases_survey_responses,status,sent_out,0
all_cases_survey_responses,status,in_progress,1
all_cases_survey_responses,status,completed,2
case_requests,creation_source,default,0
case_requests,creation_source,engagement_and_outreach_team,5
case_requests,same_supplier_used,no,0
case_requests,same_supplier_used,yes,1
case_requests,same_supplier_used,not_sure,2
case_requests,source,digital,0
case_requests,source,nw_hub,1
case_requests,source,sw_hub,2
case_requests,source,incoming_email,3
case_requests,source,faf,4
case_requests,source,engagement_and_outreach,5
case_requests,source,schools_commercial_team,6
case_requests,source,engagement_and_outreach_cms,7
case_requests,source,energy_onboarding,8
customer_satisfaction_survey_responses,clear_to_use_rating,strongly_disagree,0
customer_satisfaction_survey_responses,clear_to_use_rating,disagree,1
customer_satisfaction_survey_responses,clear_to_use_rating,neutral,2
customer_satisfaction_survey_responses,clear_to_use_rating,agree,3
customer_satisfaction_survey_responses,clear_to_use_rating,strongly_agree,4
customer_satisfaction_survey_responses,easy_to_use_rating,strongly_disagree,0
customer_satisfaction_survey_responses,easy_to_use_rating,disagree,1
customer_satisfaction_survey_responses,easy_to_use_rating,neutral,2
customer_satisfaction_survey_responses,easy_to_use_rating,agree,3
customer_satisfaction_survey_responses,easy_to_use_rating,strongly_agree,4
customer_satisfaction_survey_responses,satisfaction_level,very_dissatisfied,0
customer_satisfaction_survey_responses,satisfaction_level,dissatisfied,1
customer_satisfaction_survey_responses,satisfaction_level,neither,2
customer_satisfaction_survey_responses,satisfaction_level,satisfied,3
customer_satisfaction_survey_responses,satisfaction_level,very_satisfied,4
customer_satisfaction_survey_responses,service,find_a_framework,0
customer_satisfaction_survey_responses,service,create_a_spec,1
customer_satisfaction_survey_responses,service,supported_journey,2
customer_satisfaction_survey_responses,service,request_for_help_form,3
customer_satisfaction_survey_responses,service,energy_for_schools,4
customer_satisfaction_survey_responses,service,find_a_buying_solution,5
customer_satisfaction_survey_responses,source,exit_survey,0
customer_satisfaction_survey_responses,source,banner_link,1
customer_satisfaction_survey_responses,source,sidebar_link,2
customer_satisfaction_survey_responses,source,confirmation_screen,3
customer_satisfaction_survey_responses,source,footer_link,4
customer_satisfaction_survey_responses,status,sent_out,0
customer_satisfaction_survey_responses,status,in_progress,1
customer_satisfaction_survey_responses,status,completed,2
documents,submission_status,pending,0
documents,submission_status,submitted,1
support_emails,folder,inbox,0
support_emails,folder,sent_items,1
end_of_journey_survey_responses,easy_to_use_rating,strongly_disagree,0
end_of_journey_survey_responses,easy_to_use_rating,disagree,1
end_of_journey_survey_responses,easy_to_use_rating,neutral,2
end_of_journey_survey_responses,easy_to_use_rating,agree,3
end_of_journey_survey_responses,easy_to_use_rating,strongly_agree,4
end_of_journey_survey_responses,service,find_a_framework,0
end_of_journey_survey_responses,service,request_for_help_form,1
energy_onboarding_case_organisations,billing_invoicing_method,email,0
energy_onboarding_case_organisations,billing_invoicing_method,paper,1
energy_onboarding_case_organisations,billing_payment_method,bacs,0
energy_onboarding_case_organisations,billing_payment_method,direct_debit,1
energy_onboarding_case_organisations,billing_payment_terms,days14,0
energy_onboarding_case_organisations,billing_payment_terms,days21,1
energy_onboarding_case_organisations,billing_payment_terms,days28,2
energy_onboarding_case_organisations,billing_payment_terms,days30,3
energy_onboarding_case_organisations,electric_current_supplier,british_gas,0
energy_onboarding_case_organisations,electric_current_supplier,edf_energy,1
energy_onboarding_case_organisations,electric_current_supplier,eon_next,2
energy_onboarding_case_organisations,electric_current_supplier,scottish_power,3
energy_onboarding_case_organisations,electric_current_supplier,ovo_energy,4
energy_onboarding_case_organisations,electric_current_supplier,octopus_energy,5
energy_onboarding_case_organisations,electric_current_supplier,other,6
energy_onboarding_case_organisations,electricity_meter_type,single,0
energy_onboarding_case_organisations,electricity_meter_type,multi,1
energy_onboarding_case_organisations,gas_current_supplier,british_gas,0
energy_onboarding_case_organisations,gas_current_supplier,edf_energy,1
energy_onboarding_case_organisations,gas_current_supplier,eon_next,2
energy_onboarding_case_organisations,gas_current_supplier,scottish_power,3
energy_onboarding_case_organisations,gas_current_supplier,ovo_energy,4
energy_onboarding_case_organisations,gas_current_supplier,octopus_energy,5
energy_onboarding_case_organisations,gas_current_supplier,other,6
energy_onboarding_case_organisations,gas_single_multi,single,0
energy_onboarding_case_organisations,gas_single_multi,multi,1
energy_onboarding_case_organisations,switching_energy_type,electricity,0
energy_onboarding_case_organisations,switching_energy_type,gas,1
energy_onboarding_case_organisations,switching_energy_type,gas_electricity,2
energy_bills,submission_status,pending,0
energy_bills,submission_status,submitted,1
engagement_case_uploads,upload_status,pending,0
engagement_case_uploads,upload_status,submitted,1
exit_survey_responses,better_quality,strongly_disagree,0
exit_survey_responses,better_quality,disagree,1
exit_survey_responses,better_quality,neither,2
exit_survey_responses,better_quality,agree,3
exit_survey_responses,better_quality,strongly_agree,4
exit_survey_responses,future_support,strongly_disagree,0
exit_survey_responses,future_support,disagree,1
exit_survey_responses,future_support,neither,2
exit_survey_responses,future_support,agree,3
exit_survey_responses,future_support,strongly_agree,4
exit_survey_responses,hear_about_service,dfe_email,0
exit_survey_responses,hear_about_service,dfe_event,1
exit_survey_responses,hear_about_service,non_dfe_event,2
exit_survey_responses,hear_about_service,dfe_promotion,3
exit_survey_responses,hear_about_service,other_dfe_service_referral,4
exit_survey_responses,hear_about_service,online_search,5
exit_survey_responses,hear_about_service,social_media,6
exit_survey_responses,hear_about_service,word_of_mouth,7
exit_survey_responses,hear_about_service,other,8
exit_survey_responses,satisfaction_level,very_dissatisfied,0
exit_survey_responses,satisfaction_level,dissatisfied,1
exit_survey_responses,satisfaction_level,neither,2
exit_survey_responses,satisfaction_level,satisfied,3
exit_survey_responses,satisfaction_level,very_satisfied,4
exit_survey_responses,saved_time,strongly_disagree,0
exit_survey_responses,saved_time,disagree,1
exit_survey_responses,saved_time,neither,2
exit_survey_responses,saved_time,agree,3
exit_survey_responses,saved_time,strongly_agree,4
exit_survey_responses,status,sent_out,0
exit_survey_responses,status,in_progress,1
exit_survey_responses,status,completed,2
framework_requests,confidence_level,not_applicable,0
framework_requests,confidence_level,not_at_all_confident,1
framework_requests,confidence_level,somewhat_confident,2
framework_requests,confidence_level,slightly_confident,3
framework_requests,confidence_level,confident,4
framework_requests,confidence_level,very_confident,5
framework_requests,contract_length,not_sure,0
framework_requests,contract_length,one_year,1
framework_requests,contract_length,two_years,2
framework_requests,contract_length,three_years,3
framework_requests,contract_length,four_years,4
framework_requests,contract_length,five_years,5
framework_requests,energy_alternative,different_format,0
framework_requests,energy_alternative,email_later,1
framework_requests,energy_alternative,no_bill,2
framework_requests,energy_alternative,no_thanks,3
framework_requests,energy_request_about,not_energy_contract,0
framework_requests,energy_request_about,energy_contract,1
framework_requests,origin,used_before,0
framework_requests,origin,meeting_or_event,1
framework_requests,origin,dfe_publication,2
framework_requests,origin,non_dfe_publication,3
framework_requests,origin,recommendation,4
framework_requests,origin,search_engine,5
framework_requests,origin,social_media,6
framework_requests,origin,website,7
framework_requests,origin,other,8
framework_requests,same_supplier_used,no,0
framework_requests,same_supplier_used,yes,1
framework_requests,same_supplier_used,not_sure,2
frameworks_evaluations,creation_source,default,0
frameworks_evaluations,creation_source,transfer,1
frameworks_evaluations,status,draft,0
frameworks_evaluations,status,in_progress,1
frameworks_evaluations,status,approved,2
frameworks_evaluations,status,not_approved,3
frameworks_evaluations,status,cancelled,4
frameworks_frameworks,lot,single,0
frameworks_frameworks,lot,multi,1
frameworks_frameworks,source,spreadsheet_import,0
frameworks_frameworks,source,register,1
frameworks_frameworks,source,faf_import,2
frameworks_frameworks,status,not_approved,0
frameworks_frameworks,status,pending_evaluation,1
frameworks_frameworks,status,evaluating,2
frameworks_frameworks,status,dfe_approved,3
frameworks_frameworks,status,cab_approved,4
frameworks_frameworks,status,expired,5
frameworks_frameworks,status,archived,6
frameworks_framework_data,lot,single,0
frameworks_framework_data,lot,multi,1
frameworks_framework_data,source,spreadsheet_import,0
frameworks_framework_data,source,register,1
frameworks_framework_data,source,faf_import,2
frameworks_framework_data,status,not_approved,0
frameworks_framework_data,status,pending_evaluation,1
frameworks_framework_data,status,evaluating,2
frameworks_framework_data,status,dfe_approved,3
frameworks_framework_data,status,cab_approved,4
frameworks_framework_data,status,expired,5
frameworks_framework_data,status,archived,6
journeys,state,initial,0
journeys,state,stale,1
journeys,state,archive,2
journeys,state,remove,3
journeys,state,finished,4
request_for_help_categories,flow,services,0
request_for_help_categories,flow,goods,1
request_for_help_categories,flow,energy,2
request_for_help_categories,flow,not_fully_supported,3
support_cases,closure_reason,resolved,0
support_cases,closure_reason,email_merge,1
support_cases,closure_reason,spam,2
support_cases,closure_reason,out_of_scope,3
support_cases,closure_reason,other,4
support_cases,closure_reason,transfer,5
support_cases,closure_reason,no_engagement,6
support_cases,closure_reason,test_case,7
support_cases,closure_reason,objections,8
support_cases,creation_source,default,0
support_cases,creation_source,engagement_and_outreach_team,5
support_cases,discovery_method,used_before,0
support_cases,discovery_method,meeting_or_event,1
support_cases,discovery_method,dfe_publication,2
support_cases,discovery_method,non_dfe_publication,3
support_cases,discovery_method,recommendation,4
support_cases,discovery_method,search_engine,5
support_cases,discovery_method,social_media,6
support_cases,discovery_method,website,7
support_cases,discovery_method,other,8
support_cases,savings_actual_method,previous_minus_award,0
support_cases,savings_actual_method,alternative_minus_award,1
support_cases,savings_actual_method,rrp_minus_award,2
support_cases,savings_estimate_method,previous_minus_cheapest,0
support_cases,savings_estimate_method,rrp_minus_cheapest,1
support_cases,savings_estimate_method,previous_minus_estimated,2
support_cases,savings_estimate_method,rrp_minus_estimated,3
support_cases,savings_status,realised,0
support_cases,savings_status,potential,1
support_cases,savings_status,unrealised,2
support_cases,source,digital,0
support_cases,source,nw_hub,1
support_cases,source,sw_hub,2
support_cases,source,incoming_email,3
support_cases,source,faf,4
support_cases,source,engagement_and_outreach,5
support_cases,source,schools_commercial_team,6
support_cases,source,engagement_and_outreach_cms,7
support_cases,source,energy_onboarding,8
support_cases,state,initial,0
support_cases,state,opened,1
support_cases,state,resolved,2
support_cases,state,on_hold,3
support_cases,state,closed,4
support_cases,state,pipeline,5
support_cases,state,no_response,6
support_cases,support_level,L1,0
support_cases,support_level,L2,1
support_cases,support_level,L3,2
support_cases,support_level,L4,3
support_cases,support_level,L5,4
support_cases,support_level,L6,5
support_cases,support_level,L7,6
support_case_data,case_closure_reason,resolved,0
support_case_data,case_closure_reason,email_merge,1
support_case_data,case_closure_reason,spam,2
support_case_data,case_closure_reason,out_of_scope,3
support_case_data,case_closure_reason,other,4
support_case_data,case_closure_reason,transfer,5
support_case_data,case_closure_reason,no_engagement,6
support_case_data,case_closure_reason,test_case,7
support_case_data,case_closure_reason,objections,8
support_case_data,case_creation_source,default,0
support_case_data,case_creation_source,engagement_and_outreach_team,5
support_case_data,case_source,digital,0
support_case_data,case_source,nw_hub,1
support_case_data,case_source,sw_hub,2
support_case_data,case_source,incoming_email,3
support_case_data,case_source,faf,4
support_case_data,case_source,engagement_and_outreach,5
support_case_data,case_source,schools_commercial_team,6
support_case_data,case_source,engagement_and_outreach_cms,7
support_case_data,case_source,energy_onboarding,8
support_case_data,case_state,initial,0
support_case_data,case_state,opened,1
support_case_data,case_state,resolved,2
support_case_data,case_state,on_hold,3
support_case_data,case_state,closed,4
support_case_data,case_state,pipeline,5
support_case_data,case_state,no_response,6
support_case_data,case_support_level,L1,0
support_case_data,case_support_level,L2,1
support_case_data,case_support_level,L3,2
support_case_data,case_support_level,L4,3
support_case_data,case_support_level,L5,4
support_case_data,case_support_level,L6,5
support_case_data,case_support_level,L7,6
support_case_data,establishment_group_status,proposed_to_open,0
support_case_data,establishment_group_status,open,1
support_case_data,establishment_group_status,closed,2
support_case_data,establishment_group_status,proposed_to_close,3
support_case_data,organisation_phase,no_phase,0
support_case_data,organisation_phase,nursery,1
support_case_data,organisation_phase,primary,2
support_case_data,organisation_phase,middle_primary,3
support_case_data,organisation_phase,secondary,4
support_case_data,organisation_phase,middle_secondary,5
support_case_data,organisation_phase,sixteen_plus,6
support_case_data,organisation_phase,all_through,7
support_case_data,organisation_status,opened,1
support_case_data,organisation_status,closed,2
support_case_data,organisation_status,closing,3
support_case_data,organisation_status,opening,4
support_case_data,procurement_stage,need,0
support_case_data,procurement_stage,market_analysis,1
support_case_data,procurement_stage,sourcing_options,2
support_case_data,procurement_stage,go_to_market,3
support_case_data,procurement_stage,evaluation,4
support_case_data,procurement_stage,contract_award,5
support_case_data,procurement_stage,handover,6
support_case_data,reason_for_route_to_market,school_pref,0
support_case_data,reason_for_route_to_market,dfe_deal,1
support_case_data,reason_for_route_to_market,no_dfe_deal,2
support_case_data,reason_for_route_to_market,better_than_dfe,3
support_case_data,required_agreement_type,one_off,0
support_case_data,required_agreement_type,ongoing,1
support_case_data,route_to_market,dfe_approved,0
support_case_data,route_to_market,bespoke,1
support_case_data,route_to_market,direct_award,2
support_emails,folder,inbox,0
support_emails,folder,sent_items,1
support_establishment_groups,status,proposed_to_open,0
support_establishment_groups,status,open,1
support_establishment_groups,status,closed,2
support_establishment_groups,status,proposed_to_close,3
support_establishment_searches,organisation_status,opened,1
support_establishment_searches,organisation_status,closed,2
support_establishment_searches,organisation_status,closing,3
support_establishment_searches,organisation_status,opening,4
support_interactions,event_type,note,0
support_interactions,event_type,phone_call,1
support_interactions,event_type,email_from_school,2
support_interactions,event_type,email_to_school,3
support_interactions,event_type,support_request,4
support_interactions,event_type,hub_notes,5
support_interactions,event_type,hub_progress_notes,6
support_interactions,event_type,hub_migration,7
support_interactions,event_type,faf_support_request,8
support_interactions,event_type,procurement_updated,9
support_interactions,event_type,existing_contract_updated,10
support_interactions,event_type,new_contract_updated,11
support_interactions,event_type,savings_updated,12
support_interactions,event_type,state_change,13
support_interactions,event_type,email_merge,14
support_interactions,event_type,create_case,15
support_interactions,event_type,case_categorisation_changed,16
